category_name,product_name,product_price
NHL,Nike Men's Chicago Bears Navy Reversible Defe,79.97
NHL,"\"Nike Youth Home Game Jersey Cleveland Browns \"",70.0
NHL,Wilson NFL Autograph Official Football,44.99
NHL,Nike Men's Chicago Bears Coaches Sideline 201,34.97
NHL,Nike Men's Cleveland Browns Johnny Manziel #2,32.0
NHL,Nike Men's Cleveland Browns 'Money Manziel' T,30.0
NHL,Nike Men's Cleveland Browns Johnny Manziel 'M,30.0
NHL,Nike Johnny Football Camo Graphic T-Shirt,30.0
NHL,Nike Johnny Football Camo Jersey T-Shirt,30.0
NHL,Nike Men's Cleveland Browns Johnny Football O,28.0
Hockey,Quest Q100 10' X 10' Dome Canopy,99.98
Hockey,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Hockey,Nike+ Fuelband SE,99.0
Hockey,Nike Hoops Elite Team Backpack,70.0
Hockey,SKLZ Sport-Brella XL,69.99
Hockey,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
Hockey,Under Armour Hustle Backpack,54.99
Hockey,Kijaro XXL Dual Lock Oversized Chair,39.99
Hockey,Under Armour Men's Ignite Camo II Slide,34.99
Hockey,Stiga Master Series ST3100 Competition Indoor,329.99
Training by Sport,Nike Women's Studio Wrap Three-Part Pack,81.99
Training by Sport,lucy Women's Hatha Capri Leggings,79.0
Training by Sport,Nike Women's Legend Regular Capris 2.0,65.0
Training by Sport,Nike Women's Legend Tight Capris 2.0,60.0
Training by Sport,lucy Women's Heart Center Tank Top,55.0
Training by Sport,Reebok Women's Performance Regular Motion Fit,50.0
Training by Sport,"\"Nike Swoosh Headband - 2\"\"\"",5.0
Training by Sport,Under Armour Women's Essential Banded Tank To,49.99
Training by Sport,Nike Women's Dri-FIT Cotton Regular-Fit Capri,45.0
Training by Sport,Nike Women's Dri-FIT Cotton Tight Capris,40.0
MLS,Schutt Youth Recruit Hybrid Custom Football H,99.99
MLS,Schutt Youth XP Hybrid Custom Football Helmet,99.99
MLS,Nike Adult Pro Combat Hyperstrong 3/4 Girdle,87.99
MLS,Riddell Adult Power 7-Pad Girdle,79.99
MLS,Schutt Varsity Super-Pro STG Specialty Facema,69.99
MLS,Nike Adult Pro Combat Hyperstrong Girdle,63.99
MLS,Nike Men's Pro Combat Hyperstrong 4 Pad Footb,63.99
MLS,Nike Adult Pro Combat Hyperstrong Girdle,63.99
MLS,Nike Youth Pro Combat Hyperstrong Girdle,55.99
MLS,Under Armour Adult Gameday Armour 5 Pad Girdl,55.99
Fitness Accessories,Fitness Gear Heavy Bag Stand,99.99
Fitness Accessories,adidas Men's Powerlift 2 Training Shoe,89.99
Fitness Accessories,Marcy Diamond 9010 Smith Cage,799.99
Fitness Accessories,Elevation Training Mask 2.0,79.99
Fitness Accessories,Fitness Gear 7' Olympic Bar,79.99
Fitness Accessories,Bowflex SelectTech 1090 Dumbbells,599.99
Fitness Accessories,Marcy Pro Circuit Trainer,499.99
Fitness Accessories,Teeter Hang-Ups EP-970 Limited Inversion Tabl,399.99
Fitness Accessories,Core Fitness 5 - 50 lb Adjustable Dumbbells -,399.99
Fitness Accessories,Fitness Gear Pro Half Rack,349.99
Shop By Sport,Nike Lunar Mount Royal Golf Shoes,99.99
Shop By Sport,Nike Lunar Mount Royal Golf Shoes,99.99
Shop By Sport,Nike Lunar Mount Royal Golf Shoes,99.99
Shop By Sport,Nike Lunar Mount Royal Golf Shoes,99.99
Shop By Sport,Nike Lunar Cypress Golf Shoes,99.99
Shop By Sport,Nike Lunar Cypress Golf Shoes,99.99
Shop By Sport,Under Armour Men's Performance Chino Straight,79.99
Shop By Sport,Nike Kids' Toddler Air KD VII Basketball Shoe,49.99
Shop By Sport,adidas Batting Helmet Hardware Kit,4.99
Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,39.99
Bike & Skate Shop,Nike VR_S Covert Driver,179.99
Bike & Skate Shop,TaylorMade RocketBallz Stage 2 Driver,169.99
Bike & Skate Shop,Cobra AMP Cell Driver - Orange,169.99
Bike & Skate Shop,Cleveland Golf Classic XL Driver,119.99
Bike & Skate Shop,Callaway X Hot Driver,0.0
Baseball & Softball,Nike+ Fuelband SE,99.0
Baseball & Softball,Nike Men's USA White Home Stadium Soccer Jers,90.0
Baseball & Softball,Nike Men's USA Away Stadium Replica Soccer Je,90.0
Baseball & Softball,adidas Men's Germany Home Soccer Jersey,90.0
Baseball & Softball,adidas Men's Germany Black/Red Away Match Soc,90.0
Baseball & Softball,adidas Men's Mexico Home Soccer Jersey,90.0
Baseball & Softball,Nike Youth USA Away Stadium Replica Soccer Je,75.0
Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99
Baseball & Softball,adidas Men's F10 Messi FG Soccer Cleat,59.99
Baseball & Softball,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
Men's Golf Clubs,Merrell Women's Grassbow Sport Hiking Shoe,99.99
Men's Golf Clubs,Merrell Women's Grassbow Sport Hiking Shoe,99.99
Men's Golf Clubs,Merrell Women's Azura Wide Hiking Shoe,99.99
Men's Golf Clubs,Merrell Women's Azura Hiking Shoe,99.99
Men's Golf Clubs,Merrell Women's Azura Wide Hiking Shoe,99.99
Men's Golf Clubs,Merrell Women's Azura Hiking Shoe,99.99
Men's Golf Clubs,Roxy Women's Steamer Long Sleeve Rash Guard,68.0
Men's Golf Clubs,"\"Merrell Men's Moab Rover Mid Waterproof Wide \"",139.99
Men's Golf Clubs,"\"Merrell Men's Moab Rover Mid Waterproof Wide \"",139.99
Men's Golf Clubs,Merrell Men's Moab Rover Mid Waterproof Hikin,139.99
Golf Bags & Carts,Ogio Sport Golf Shoes,99.99
Golf Bags & Carts,Ogio Sport Golf Shoes,99.99
Golf Bags & Carts,Ogio Sport Golf Shoes,99.99
Golf Bags & Carts,TRUE linkswear Vegas Golf Shoes,99.99
Golf Bags & Carts,TRUE linkswear Vegas Golf Shoes,99.99
Golf Bags & Carts,Nike Lunar Mount Royal Golf Shoes,99.99
Golf Bags & Carts,FootJoy GreenJoys Golf Shoes,59.99
Golf Bags & Carts,FootJoy GreenJoys Golf Shoes,59.99
Golf Bags & Carts,PING Golf Shoe Bag,34.99
Golf Bags & Carts,Ogio Race Golf Shoes,169.99
More Sports,Quest Q100 10' X 10' Dome Canopy,99.98
More Sports,SKLZ Sport-Brella XL,69.99
More Sports,Quest 12' x 12' Screen House,69.99
More Sports,Quest Q64 10 FT. x 10 FT. Slant Leg Instant U,59.98
More Sports,Reebok Women's Performance Essentials Printed,45.0
More Sports,adidas Women's Tiro 13 Soccer Pants,45.0
More Sports,Nike Men's Comfort 2 Slide,44.99
More Sports,YETI Tundra 65 Chest Cooler,399.99
More Sports,Kijaro XXL Dual Lock Oversized Chair,39.99
More Sports,Under Armour Men's Ignite Camo II Slide,34.99
Accessories,SOLE E25 Elliptical,999.99
Accessories,Nike Men's Free 5.0+ Running Shoe,99.99
Accessories,Nike Kids' Grade School KD VI Basketball Shoe,99.99
Accessories,Nike Men's Free 5.0 Running Shoe,99.99
Accessories,Nike Women's Free 5.0+ Running Shoe,99.99
Accessories,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Accessories,Nike+ Fuelband SE,99.0
Accessories,Brooks Women's Adrenaline GTS 13 Running Shoe,89.99
Accessories,Nike Women's Free 4.0 Running Shoe,89.99
Accessories,Brooks Women's Ghost 6 Running Shoe,89.99
As Seen on  TV!,Nike Men's Free Trainer 5.0 Training Shoe,99.99
As Seen on  TV!,PRIMED 7' x 5' Soccer Trainer,99.99
As Seen on  TV!,Nike Men's Free TR 5.0 TB Training Shoe,99.99
As Seen on  TV!,Elevation Training Mask 2.0,79.99
As Seen on  TV!,Reebok Women's Solid Classic Tank Swimsuit,64.99
As Seen on  TV!,Nike Men's Comfort 2 Slide,44.99
As Seen on  TV!,Nike Men's Comfort 2 Slide,44.99
As Seen on  TV!,Fitness Gear Pro Half Rack,349.99
As Seen on  TV!,Under Armour Men's Ignite Camo II Slide,34.99
As Seen on  TV!,Under Armour Men's Ignite III Slide,34.99
Golf Gloves,Clicgear Rovic Shoe Brush,9.99
Golf Gloves,Clicgear 8.0 Shoe Brush,9.99
Golf Gloves,Bag Boy M330 Push Cart,79.99
Golf Gloves,Clicgear Rovic Cart Seat,49.99
Golf Gloves,Bag Boy Cart Seat,49.99
Golf Gloves,Clicgear Rovic Cooler Bag,39.99
Golf Gloves,Club Glove Last Bag,299.99
Golf Gloves,Titleist Club Glove Travel Cover,299.99
Golf Gloves,Clicgear 8.0 Pack Sack,27.99
Golf Gloves,Titleist Small Wheeled Travel Cover,249.99
NBA,"\"Reebok Youth Chicago Blackhawks Patrick Kane \"",65.0
NBA,Antigua Women's 2014 NHL Stanley Cup Champion,54.99
NBA,Reebok Men's Detroit Red Wings 2014 NHL Cente,26.0
NBA,Reebok Men's Minnesota Wild 2014 NHL Center I,26.0
NBA,Reebok Men's Dallas Stars 2014 NHL Center Ice,26.0
NBA,Reebok Men's Buffalo Sabres 2014 NHL Center I,26.0
NBA,Reebok Men's Nashville Predators 2014 NHL Cen,26.0
NBA,Reebok Men's Pittsburgh Penguins 2014 NHL Cen,26.0
NBA,Reebok Men's Florida Panthers 2014 NHL Center,26.0
NBA,Reebok Men's Toronto Maple Leafs 2014 NHL Cen,26.0
Boating,Fitbit Flex Wireless Activity & Sleep Wristba,99.95
Boating,Nike+ Fuelband SE,99.0
Boating,Nike Hoops Elite Team Backpack,70.0
Boating,"\"Spalding NBA 54\"\" Glass Portable Basketball Ho\"",699.99
Boating,Under Armour Hustle Backpack,54.99
Boating,"\"Goaliath 54\"\" In-Ground Basketball Hoop with P\"",499.99
Boating,Quest 15 FT Trampoline Enclosure Combo,499.99
Boating,"\"Lifetime Elite 52\"\" Portable Basketball Hoop\"",399.99
Boating,Kan Jam Disc Game,39.99
Boating,Under Armour Men's Ignite Camo II Slide,34.99
Camping & Hiking,Nike+ Fuelband SE,99.0
Camping & Hiking,Diamondback Adult Trace Hybrid Bike 2014,449.99
Camping & Hiking,GoPro HERO3+ Black Edition Camera,399.99
Camping & Hiking,Diamondback Women's Clarity Hybrid Bike 2013,399.99
Camping & Hiking,Diamondback Adult Insight Hybrid Bike 2013,399.99
Camping & Hiking,Diamondback Women's Clarity 1 Hybrid Bike 201,399.99
Camping & Hiking,Diamondback Adult Response XE Mountain Bike 2,349.98
